GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ForenameSurname-SoftwareMarch16,com.qa.ims.controller,ItemController,71,43,0,2,21,12,7,5,7,4
ForenameSurname-SoftwareMarch16,com.qa.ims.controller,Action,116,0,2,0,17,0,6,0,5,0
ForenameSurname-SoftwareMarch16,com.qa.ims.controller,CustomerController,7,105,0,2,4,28,4,7,4,6
ForenameSurname-SoftwareMarch16,com.qa.ims.controller,OrderController,142,0,2,0,41,0,12,0,11,0
ForenameSurname-SoftwareMarch16,com.qa.ims,Ims,263,0,19,0,61,0,20,0,7,0
ForenameSurname-SoftwareMarch16,com.qa.ims,Runner,14,0,0,0,5,0,3,0,3,0
ForenameSurname-SoftwareMarch16,com.qa.ims.persistence.dao,orderDao,336,0,2,0,75,0,15,0,14,0
ForenameSurname-SoftwareMarch16,com.qa.ims.persistence.dao,CustomerDaoMysql,316,0,2,0,73,0,15,0,14,0
ForenameSurname-SoftwareMarch16,com.qa.ims.persistence.dao,itemDao,300,16,2,0,67,6,13,2,12,2
ForenameSurname-SoftwareMarch16,com.qa.ims.services,OrderServices,27,0,0,0,8,0,5,0,5,0
ForenameSurname-SoftwareMarch16,com.qa.ims.services,itemServices,0,27,0,0,0,8,0,5,0,5
ForenameSurname-SoftwareMarch16,com.qa.ims.services,CustomerServices,0,27,0,0,0,8,0,5,0,5
ForenameSurname-SoftwareMarch16,com.qa.ims.utils,Utils,6,6,0,0,2,1,2,1,2,1
ForenameSurname-SoftwareMarch16,com.qa.ims.persistence.domain,Order,0,86,0,0,0,35,0,13,0,13
ForenameSurname-SoftwareMarch16,com.qa.ims.persistence.domain,Domain,33,72,2,0,9,9,3,3,2,3
ForenameSurname-SoftwareMarch16,com.qa.ims.persistence.domain,Item,0,42,0,0,0,18,0,8,0,8
ForenameSurname-SoftwareMarch16,com.qa.ims.persistence.domain,Customer,0,175,0,30,0,48,0,26,0,11
